stream_name,stream,district_name,district,o_zscore,zscore,course_name,course,university_name,university
Biological Science,1,Kandy,4,1.3415,13415,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Kandy,4,1.2514,12514,Biological Science,3,University of Kelaniya,10
Biological Science,1,Kandy,4,1.1642,11642,Biological Science,3,University of Jaffna,1
Biological Science,1,Kandy,4,1.1637,11637,Biological Science,3,University of Ruhuna,11
Biological Science,1,Kandy,4,-100,-1000000,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Kandy,4,-100,-1000000,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Kandy,4,1.593,15930,Food Science & Technology,4,University of Peradeniya,8
Biological Science,1,Kandy,4,1.5708,15708,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Kandy,4,1.2652,12652,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kandy,4,1.2612,12612,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Kandy,4,1.4388,14388,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Kandy,4,1.8032,18032,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Kandy,4,1.7606,17606,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Kandy,4,1.8114,18114,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Kandy,4,-100,-1000000,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Kandy,4,2.3559,23559,Medicine,10,University of Colombo,7
Biological Science,1,Kandy,4,2.1825,21825,Medicine,10,University of Peradeniya,8
Biological Science,1,Kandy,4,2.1436,21436,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Kandy,4,2.0513,20513,Medicine,10,University of Kelaniya,10
Biological Science,1,Kandy,4,1.8311,18311,Medicine,10,University of Jaffna,1
Biological Science,1,Kandy,4,1.99,19900,Medicine,10,University of Ruhuna,11
Biological Science,1,Kandy,4,1.9032,19032,Medicine,10,University of Moratuwa,13
Biological Science,1,Kandy,4,-100,-1000000,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Kandy,4,1.8596,18596,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Kandy,4,1.8493,18493,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kandy,4,1.8217,18217,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Matale,5,0.7933,7933,Agriculture ,1,University of Jaffna,1
Biological Science,1,Matale,5,0.6612,6612,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Matale,5,0.6106,6106,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Matale,5,0.7691,7691,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matale,5,0.6643,6643,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Matale,5,0.8831,8831,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Matale,5,-100,-1000000,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matale,5,0.7147,7147,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Matale,5,1.7145,17145,Biological Science,3,University of Colombo,7
Biological Science,1,Matale,5,1.4542,14542,Biological Science,3,University of Peradeniya,8
Biological Science,1,Matale,5,1.3581,13581,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Matale,5,1.2755,12755,Biological Science,3,University of Kelaniya,10
Biological Science,1,Matale,5,0.9328,9328,Biological Science,3,University of Jaffna,1
Biological Science,1,Matale,5,1.1383,11383,Biological Science,3,University of Ruhuna,11
Biological Science,1,Matale,5,1.1028,11028,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Matale,5,1.1412,11412,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Matale,5,1.5956,15956,Food Science & Technology,4,University of Peradeniya,8
Biological Science,1,Matale,5,1.5786,15786,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Matale,5,1.345,13450,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matale,5,1.2096,12096,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Matale,5,1.4595,14595,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Matale,5,1.7408,17408,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Matale,5,1.664,16640,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Matale,5,1.7449,17449,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Matale,5,-100,-1000000,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Matale,5,-100,-1000000,Medicine,10,University of Colombo,7
Biological Science,1,Matale,5,2.2968,22968,Medicine,10,University of Peradeniya,8
Biological Science,1,Matale,5,-100,-1000000,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Matale,5,2.0739,20739,Medicine,10,University of Kelaniya,10
Biological Science,1,Matale,5,1.7872,17872,Medicine,10,University of Jaffna,1
Biological Science,1,Matale,5,1.9687,19687,Medicine,10,University of Ruhuna,11
Biological Science,1,Matale,5,-100,-1000000,Medicine,10,University of Moratuwa,13
Biological Science,1,Matale,5,-100,-1000000,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Matale,5,1.8363,18363,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Matale,5,-100,-1000000,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matale,5,1.7716,17716,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Nuwara Eliya,6,0.5198,5198,Agriculture ,1,University of Jaffna,1
Biological Science,1,Nuwara Eliya,6,0.4581,4581,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Nuwara Eliya,6,0.6229,6229,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Nuwara Eliya,6,0.8013,8013,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Nuwara Eliya,6,0.8534,8534,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Nuwara Eliya,6,0.886,8860,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Nuwara Eliya,6,0.4038,4038,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Biological Science,3,University of Colombo,7
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Biological Science,3,University of Peradeniya,8
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Nuwara Eliya,6,1.2856,12856,Biological Science,3,University of Kelaniya,10
Biological Science,1,Nuwara Eliya,6,0.9545,9545,Biological Science,3,University of Jaffna,1
Biological Science,1,Nuwara Eliya,6,1.1921,11921,Biological Science,3,University of Ruhuna,11
Biological Science,1,Nuwara Eliya,6,0.7924,7924,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Nuwara Eliya,6,0.478,4780,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Food Science & Technology,4,University of Peradeniya,8
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Nuwara Eliya,6,1.138,11380,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Nuwara Eliya,6,1.1471,11471,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Nuwara Eliya,6,1.3029,13029,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Nuwara Eliya,6,1.4124,14124,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Nuwara Eliya,6,1.419,14190,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Nuwara Eliya,6,1.4637,14637,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Nuwara Eliya,6,2.3427,23427,Medicine,10,University of Colombo,7
Biological Science,1,Nuwara Eliya,6,2.2089,22089,Medicine,10,University of Peradeniya,8
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Medicine,10,University of Kelaniya,10
Biological Science,1,Nuwara Eliya,6,1.7018,17018,Medicine,10,University of Jaffna,1
Biological Science,1,Nuwara Eliya,6,1.9859,19859,Medicine,10,University of Ruhuna,11
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Medicine,10,University of Moratuwa,13
Biological Science,1,Nuwara Eliya,6,1.4755,14755,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Nuwara Eliya,6,1.846,18460,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Nuwara Eliya,6,-100,-1000000,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Nuwara Eliya,6,1.603,16030,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Galle,7,0.6863,6863,Agriculture ,1,University of Jaffna,1
Biological Science,1,Galle,7,0.6604,6604,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Galle,7,0.6428,6428,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Galle,7,0.7414,7414,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
